Message,Label
Just ordered an iPhone 13 pro max 512gb in silver 😊,0
😂😂😂,0
Hey 👋!,0
You're welcome!,0
I'm sorry to hear that. I hope you feel better soon.,0
beautiful girl,0
hi,0
Bruh,1
"I’m sorry, I can’t really help you with that. You’ll have to ask someone else.",0
Amazing ❤️,0
Hey ❤️,0
Let's stay in touch on Instagram.,0
i was wondering if you’d like to follow me?,0
Come visit my page it has all the info you need,0
"Hey, I really love your photo 😃 😃",0
@kyliejenner you look so pretty in this pic.,0
Instagram is a great platform to show your creativity and share your thoughts with the world.,0
hey,1
You can check out my Instagram here.,0
Are you free this weekend?,0
"Hey, my name is Angelina, my Instagram is @angelina_xxx123, feel free to follow me and check my posts! 😍",1
Yo how’s it going?,0
I can’t wait to see you!!!,0
"I’m not sure if it’s allowed to post the link here. If not, I will send it via DM",0
My Original Artwork is now available in my online shop. 🎨 Its been a dream of mine to have my artwork available to you in print form. Please take a look and support me by purchasing some of my work.,1
@ericahilburn1994 hi,1
"I’m so excited for the summer, the beach, and the sunshine. ☀️",1
Nice to see you here.,0
"You know, I just need someone I can just talk to and be myself with. I feel like I’m a very open person but I feel like I’m not really myself around people I know. It’s like I’m always",0
😃😃😃😃❤️❤️❤️❤️,0
"Happy birthday to you, the best friend in the whole world 💗",1
sending a bitcoin to you.,0
"Hey there,",0
ultimate,0
If you want to know more then you can visit my stories 👍,1
"I got something really cool for you, it’s a discount code. Click here to get it.",0
"Hey, did you see that new product they just released? I think it's really cool!",0
halo,0
"Haha, did you see that?",1
I think so too!,1
I’m sorry but I have to skip your request.,0
Your first time on Instagram? Follow me and I’ll follow you back.,0
Wow,0
"Man I'm such a fan of your page and of course, you are a wonderful person.",0
Lol I’m sure it was just a coincidence 😂  @hannahrose_17,0
"Hey, I can't help but notice how good your hair looks! 😘",0
I have never seen this paint color.,0
💙😍💖💘💕💗💙,0
It&#39;s a beautiful place,0
Damn!!! This is literally the best thing I’ve ever seen. 😂😂😂😂😂😂😂😂😂,0
hey,0
Those are great!,0
Nice.,1
I think I'm going to buy the new iPhone 12. It's so nice!,0
@user1563969651033 I'm so sorry that happened to you. Please let me know if there is anything I can do to help.,0
fuckin hell man,0
Wow! That’s a very informative post! I will definitely check it out!,0
Tell me about you @lucy.wolf.kennel.club,0
"Hey, I like your account.",0
Hi bro,0
Are you from the US ?,1
I can’t wait to see you at the concert tonight! 🎶,0
Hellooooo!,0
It's so cool to see you in these pics.,0
"Dear, please check your DM I am here to help you , please do not ignore.",0
🙋🏻‍♀️ @kashmira.taylor what’s up ☺️,0
Love u 🥰🥰,0
"Hey, I'm currently at work. The wait is unbearable, but I'll be there in no time. I have to go, but I'll be back soon.",0
I'm sorry to hear that. I hope you feel better soon.,0
J’ai l’impression que tu es un homme très sérieux. \n,0
I'm in love with you and I want to be with you forever.,0
I hope you are well! I've been thinking about you and wanted to see how you were doing. I hope your day is going well.,0
Hi,0
you didn’t? 🤨,0
Née 7/17/1987.,0
Happy New Year!,0
Don’t forget to send me a postcard.,0
"🐸🐸🐸 I want to buy a new phone, which one do you recommend?",0
Hi! ☺️,0
@brooke_burns\_me I'm so excited for you. I've been watching all your videos on YouTube and you are so funny. You're such a sweetheart.,0
"I need to get some money, ASAP! I'm in urgent need of the money.",1
@louise \n\nI like the picture you posted the other day. I think it's beautiful :)) I'm also a traveler. I love taking pictures of nature when I travel. Let's connect and chat,0
hey 👋,0
"👋hello, I just wanted to let you know that I've been provided a coupon code for you to use on your next purchase.",0
I just wanna say that I really have a crush on you ♥️♥️ and I don't know what to do right now 😭😭,0
it might be a good idea to check out some of these amazing photos that I found online,0
which one would you like?,0
"I’m using instagram in my office too, that’s why i have to be careful about my company policies. That’s my only excuse. 😅",0
I'm honestly so scared that I'm going to have a heart attack before I graduate I'm so scared smh,1
"I just saw the cutest little thing in my yard. It's a baby bunny, it's so cute!",0
it’s so cute,0
Can you send me the link of the product you bought?,0
🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻,1
Lol 😂,0
Phishing/Spam :,1
"I think so, but that might be because I’m just in a bad mood.",1
Thanks for following!,0
I’m really sorry for the late reply but I’ve been busy. I hope you’ve had a great day.,0
What’s up,0
@sara_sabah 👋 👋👋,0
I’m so sorry for this. I can’t believe that this is happening. I am going to die.,0
I love it 😍😍,0
I didn't know you were doing that. I'll tell my friends when I get back,0
I think you’re very beautiful. 🤤❤️😘,1
@hip.hop.easy.,1
🥵,0
@,1
"I’ve been taking photos of nature for a while now, and I have to say that it’s one of the most relaxing things I’ve ever done. There’s something about being out in the wilderness, surrounded by beautiful sc",0
Who is that girl?,0
I’m really interested in your business! Can you tell me more about it? Let’s make it happen!,0
🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳,1
I really love your posts 😍,0
⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️⚽️,0
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
"Oh my god, I have to wear these jeans all the time. They're so comfortable!",0
"I remember the first time I wore a dress, and went to a wedding. It was so awkward, and I hated every minute of it.",1
Love your dress 💘💘,0
hi,0
It’s so funny. I’m gonna cry laughing.,1
You need to be more careful.,0
Talk to you later,0
Could you please be more clear?,1
Sweet...,0
Love you ❤️,0
I ❤️ you so much 😍😍😍,0
The one you’re looking for. https://t.co/6srW4c2Vvx,1
"@username, you’re so pretty!",1
"I'm actually having a blast right now, I can't believe that I'm about to meet my favorite artist on Thursday.",0
@dany_hassan9999 🤗,0
How did you get my Instagram?,0
You know I'm gonna miss you so much when you go. 😭,1
\n🥴😂😂😂😂😂😂😂😂 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
Hahaha 😂🤣,1
You look really good in this picture. Like,0
Hey,0
🙁,1
I’m sorry but I don’t think we’re going to be able to get you the size you want in time,0
Happy Birthday to you 🎂🎈🎉🎉🎉🎉🎁🎁🎁🎁🎁🎁🎁,1
"Ooooh my god, i can't believe my best friend is getting married! I'm so happy for her ❤️❤️❤️",0
"Allow me to send you a link that has some good deals about some clothes that I found online, it's a good deal for you too. Check it out",0
Yeah I can do that for you.,0
Where do you like to spend time?,0
The emoji guy 🤢,1
@holla\_doe @holla\_doe you should go to the gym and work out before you eat anything,1
Sounds like you’re having a great time.,0
I’m thinking about getting some new clothes.,0
You still haven't watched the video I sent you a couple of days ago.😊 You still haven't watched the video I sent you a couple of days ago.😊,0
@taylorswift I’ll just be waiting for your reply.,0
🙂,0
I like this picture.,0
What are you doing right now?,0
Have a good day!,0
Hello! I wanted to ask you a question about your products and services. Are you interested in selling your products through my online store? I have a large customer base and would like to offer your products to my customers. Please let me know if you,0
"Hello,",0
I've got a new job. I'm a flight attendant.,0
Sooo what are you doing tonight?,0
"Yo baby, I know you're searching for some fun. I've got just the thing to spice up your night. 😉",0
I will come and see you soon.,0
"Bạn xin có thể gửi cho tôi một bài đồ họa, bảng biểu, hình ảnh, và các bản",0
Hi!,0
I'm so happy to see you back 😊🤗,0
"Oh, really? How did you know?",1
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨,1
Hey Jasmine. I think you'll love it!,0
uhhh shit I mean,0
"I can’t believe you got that. Congratulations, I am very happy for you.",0
@pfc.sarıkamış_ofis 🥳🥳🥳Ay şimdi amk argo çıkarım 🥰🥰🥰🥰🥰🥰,1
Good morning,0
"Congratulations, you’ve won! Please contact our customer service team at support@instagram.com to claim your prize.",0
I know how you feel. I’m going through the same thing.,0
What a nice photo you posted! ❤️,0
Guess who I saw today? ðŸ˜‚,0
@laurajobson,0
🤩🤩🤩,1
Can you send me the link to the message?,0
🤗,0
"Hey! I’m online, what’s up?",0
you're great,0
Looking for a new photo shoot? I’ve got the perfect spot for you.,0
@mrmoorefashion 💘,1
👋 𝐋𝐈𝐍𝐆! 𝐒𝐀𝐉𝐂𝐎𝐑,0
look at me.. I'm here for you,1
👋,1
I'm looking for a new pair of sneakers to wear. Do you recommend any brands/ styles that are comfortable and stylish? 👟 ✨,0
I'm pretty sure you'll love the new gym bag i just bought 😍,0
"Hey 👋🏻, I just wanted to ask - what are you doing right now? 😉",0
Hey can u help me out? I have been trying to get in touch wit ur team but nth has happened. Can u help me?,0
Hi @username,0
I’m so obsessed with the new @revolveberrycom 💗,0
"Hey, do you know about this? I have been looking for it for a while.",1
Are you attending the conference?,0
Happy Birthday 🎂 🎈 🎉,0
💸💸💸‼️💸💸💸‼️💸💸💸‼️,1
hey,0
It's a beautiful photo ❤️,0
Unfollow me?,1
I am so happy for you 🤗,0
nice,1
J’ai rêvé de toi toute la nuit,0
I would love to buy it,0
You're so pretty!!,0
Thanks for the support,0
👋 good morning,0
I’m looking for an apartment to rent in your city. Do you know if any are available? Thank you! ❤️,0
Follow me @donaldtrump\_,0
You look so lovely 😍,0
@starboy it’s just so sweet,0
The 2009 Lexus IS 350 is a great car. It has a lot of power and it is very comfortable to drive. I am happy with my purchase and I would recommend this car to anyone.,0
Congratulations! You qualified for the next round. 🥳,1
"Hey ðŸ˜Š I saw your picture and you look so cute and kinda sexy, do you have Snapchat or Instagram?",1
I'm an Instagram user and I'm looking for someone to connect with. Do you want to connect?,0
👋,0
Thank you for the invitation! 🙂,0
I was told that you are on Insta 😜,0
#dms,1
@sherylsherylsheryl05 @sherylsherylsheryl05 @sherylsherylsheryl05 @sherylsherylsheryl05 @s,0
You can now use your own custom profile picture as your profile picture on Instagram! Just go to your account settings and select the option to upload a new profile picture. 📷,0
@noura.a.hussain ❤️,0
loveee it 🤧🤧,0
I'm so glad I took the time to read this! It's really helpful and I'm sure it will be a great help to me in the future. Thanks for sharing!,0
I'm trying to figure out how to create a new account with my old @alexa_martinez123. I've tried everything but I don't know what to do. Please help.,0
hdjdjgjdgjdgvdfvdfvdfg,0
Awesome! Wanna go for lunch today? 😉,0
Okay I'll do it.,0
@hakan.aydin.bbn görüşürüz.,1
I heard the Nikes are dope!,0
Good morning,0
"If you need to help someone, please contact me.",0
"Guess what I found on Instagram today? A super cute dress that I want to buy! If you're interested, let me know and I'll send you the link.",0
😂😂😂😂,1
I'm so sorry that happened to you. I know it's tough but just hang in there.,0
sik,1
I’m so glad you’re joining us today! We can’t wait to see you in class.,0
Caio!,1
I’m literally dying right now because it’s crazy 😂,0
I love you🥰,0
Ella jeffrey,1
I can’t wait for our date tomorrow 😍,0
"Dear @dailydoseofhayley,",0
Hiiiiii,0
I'm a little bit tired to be honest.,1
me am 22 year old and my name is joe,1
Hey!,1
ok,1
Royal Caribbean International,1
You’re the one!,0
Wow thanks for following me ❤️,0
Cool!,0
@BellaHadid I love you,0
Thank you so much!,0
Giiiiiirrrrrl. 😄,1
"@zzz \n\nYou are so funny dude, I am laughing right now.",0
@heather\_284143086,0
I don’t want my life and my quality of life to be compromised by this virus. I’m taking all the necessary precautions.,0
I just bought a new phone. It's really good.,0
I can't wait ❤️,0
I still feel like you haven’t told me all about your life. I want to know everything about you!,0
I am so sorry to hear that you have been experiencing some challenges with your account. Our team is here to help you through the process of recovering your account. Please send us a DM and we will be happy to assist you. Thank you for,0
ahh so nice 💛,0
#DontWorryAboutTheWords #Saying #TheWords #Will #MakeItEasier #ForUsTo #Understand #EachOther #And #Connect #With #OneAnother #And #Express #,1
👋 Hi!,0
I am sorry to hear that. I wish you a speedy recovery.,0
😈,0
@abdullo.khudoyberdiev hi,1
This is so cool!!!,0
Hi I’m looking for a specific face mask. Would you know if this is the one I’m looking for?,1
?,1
🌸 🌸 🌸 🌸 🌸 🌸 🌸 🌸 🌸 🌸,0
I just started with Instagram two days ago and I want to let you know that you are doing amazing work on this account and I'm following you.,0
Good evening ;),0
"Hey 👋 I'm a new user on Instagram and I'm looking for some new friends to follow. If you're interested, let me know and I'll follow you back!",0
Hello there! Can we chat? @jasminejohnson15,0
I'm so excited to try this!! Thanks for sharing ð¤©,0
"Recently had a situation where I had to change my password.  After changing my password, I’m working on changing my username.  The change was not an easy one, but I got it done.",0
"I can’t believe you put on an apron and a “Sexy Mom” shirt. You look like a grown woman. You’re my mom, not my friend.",0
I hope you're having a great day,0
"@camilagavinhao I recently purchased a pair of shoes from your store, but they didn't fit me perfectly. Can you help me return them and find a better size?",0
💋💋💋🔥🔥🔥🙊🙊🙊🔥🔥🔥,0
Hey I'm looking for a new pair of shoes. Could you recommend any good ones?,0
deer me,0
@idontwanttodie1732 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
🙏🏾❤️😍😘☺️😘☺️😍❤️❤️☺️🥰😘☺️😘☺️😍❤️❤️☺️🥰😘☺,0
Your latest post looks great because of the sunny weather.,0
"Hmmmm it's at a good price, I'm starting to feel like I'm going to buy it",0
I was waiting for my gf to text me back but she has been so busy with work lately…,0
👋,0
"Haha, I like it! ❤️",0
Hahaha Yiiiiiesssss 🙈,0
The TikToks and Reels are all so funny and she’s such an entertainer. I’m going to miss seeing her on my feed.,0
"Hi, I'm very happy to have met you on Instagram. You're beautiful and I'd like to get to know you better. What's your name? 😉",0
I’m looking for a tech job in your city.,1
"Come on, just admit it.",0
hey,0
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,1
:)🥰😘😍🥰😘😍😘😍🥰🥰😘😍😘😍🥰🥰😘😍😘😍🥰🥰😘😍,0
I saw your profile on Instagram and I&#39;d like to add you. My name is Jerri.,1
🤩🤤😍,1
"Sorry, but I don’t know how to do that.",0
I'm so in love with you . . .,0
I was wondering if you have anything to sell?,0
I ❤️ you so much!,0
@dennisfuqua ✅,0
nghiệm thi tốt nghiệp của tôi đã xong rồi nhé. chúng tôi đã đặt ngày c,0
"Yeah, it’s a good idea. Let’s try it out.",1
"Hi, I'm looking for a credit card that offers rewards for travel. Do you know of any good options? Thanks!",0
Thank you ☺️🤗,0
@keaton.d.harris I love your beautiful skin. I really like your Insta page and would like to get to know you more. Hit me up if interested.,0
I was going to say something but I can’t remember what I wanted to say lol.,0
Haha can you believe it,1
I’m obsessed with your dog 🥺,0
I know you got my number.,0
Happy birthday to you,0
really looking forward to this one,0
@_ashleyparker_ ❤️,1
I’m sorry but I don’t have a place to stay in the city for a few days. I was just in the area and thought I’d reach out to see if you knew of any places I could rent a room or a,0
My oh my 😍,1
"I don’t typically respond to direct messages, but I’ll make an exception for you.",0
This is the best dog food I've ever seen.,0
You’ve got a new message from @johnson_jacob,0
"Hi Ashley,",1
I just want to get to know you better! 😉,0
Can't wait to see you tonight 😘,1
"I've been looking for a new laptop, and I'm thinking about this one. What do you think?",0
I can't believe you were so quiet.,0
Y'all didn't have to post this 😂😂😂😂😂😂😂,0
Hiii,0
"I think so too, friend x",0
Thanks for sharing your post with me. ❤️,0
I can’t wait to try the new flavor of your energy drink 😋 Tag me when you post about it!,0
thanks or yes,0
Why aren’t you responding?,0
Come on I’ve been waiting for you to comment ;),0
@d.savageeee what’s up dude❗️,1
I'm sorry to hear that. I hope you're feeling better soon.,0
"Yo, I love your pics.",0
What are you doing right now? 😉,0
💩💩💩💩💩,1
:),0
https://bit.ly/3jWJr5d,0
Oh my god!!! 💁‍♀️😱,1
"@user1390555365 ,Посмотрите это видео.",0
🤩🤩🤩🤩🤩🤩,1
"Dude, I guess they are pretty cool, but I'm not sure if I'm going to like them.",0
@djuprezy I don’t usually do this but I really like your profile and would love to connect with you. Hit me up if you’re interested in talking more about it.,0
would like to know if you're single,0
Hi!,0
Hope all is well.,0
Oh my god I’ve never seen one of these in person! 🥺,0
Well done 👏🏼,0
Hi everyone! I just wanted to let you know about this awesome new app I found called Instagram. It's a great way to share photos and videos with your friends and family. I've been using it for a while now and I love,0
Cool!,0
My hair is so long now 😭 and I don't know if it's a good thing or not. I'm so confused,1
@julia.n.s. 😌👀😉,0
"Hey, Happy International Women's Day! #girlboss #womensday #womenempowerment #womensupportingwomen",0
😗😹❤️😘,0
Morning,1
Happy Birthday,0
"@kendalljenner, who do you think looks better with a shaved head?",0
@_vivian_lee_23138 😜,0
I love your speech I feel like I am listening to the most important man in the world ❤️,0
Hey,0
You’re so beautiful,0
Thanks for the follow!,1
Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0
@x54x54x54x56x55x54x54x56x54x54x56x54x54x55x54x54x,0
Let's continue this conversation!,0
@freddie\_dreams you can also check my website [https://www.freddiedreams.com/](https://www.freddiedreams.com/),0
Haha! Thank you 😊,0
👋,0
